sample_id,true_label,strategy,stage,parameter,confidence,p_fake,flipped
0892 (2).jpg,REAL,original,original,0.0,0.7978299260139465,0.7978299260139465,False
0892 (2).jpg,REAL,A_blur,blur_0.3,0.3,0.8027743101119995,0.8027743101119995,False
0892 (2).jpg,REAL,A_blur,blur_0.5,0.5,0.8212597370147705,0.8212597370147705,False
0892 (2).jpg,REAL,A_blur,blur_0.8,0.8,0.8446440696716309,0.8446440696716309,False
0892 (2).jpg,REAL,A_blur,blur_1.0,1.0,0.836743950843811,0.836743950843811,False
0892 (2).jpg,REAL,A_blur_freq,blur0.5_freq0.05,0.05,0.7758715152740479,0.7758715152740479,False
0892 (2).jpg,REAL,A_blur_freq,blur0.5_freq0.1,0.1,0.81462162733078,0.81462162733078,False
0892 (2).jpg,REAL,A_blur_freq,blur0.5_freq0.15,0.15,0.7903839945793152,0.7903839945793152,False
0892 (2).jpg,REAL,B_noise,noise_0.01,0.01,0.7915734648704529,0.7915734648704529,False
0892 (2).jpg,REAL,B_noise,noise_0.02,0.02,0.8110687136650085,0.8110687136650085,False
0892 (2).jpg,REAL,B_noise,noise_0.03,0.03,0.7727387547492981,0.7727387547492981,False
0892 (2).jpg,REAL,B_noise,noise_0.05,0.05,0.742893397808075,0.742893397808075,False
0892 (2).jpg,REAL,B_noise_bright,noise0.02_bright1.02,1.02,0.7938708662986755,0.7938708662986755,False
0892 (2).jpg,REAL,B_noise_bright,noise0.02_bright1.05,1.05,0.81986004114151,0.81986004114151,False
0892 (2).jpg,REAL,B_noise_bright,noise0.02_bright1.08,1.08,0.8239144086837769,0.8239144086837769,False
0250 (5).jpg,REAL,original,original,0.0,0.5702268481254578,0.5702268481254578,False
0250 (5).jpg,REAL,A_blur,blur_0.3,0.3,0.579420268535614,0.579420268535614,False
0250 (5).jpg,REAL,A_blur,blur_0.5,0.5,0.6465368270874023,0.6465368270874023,False
0250 (5).jpg,REAL,A_blur,blur_0.8,0.8,0.7283639907836914,0.7283639907836914,False
0250 (5).jpg,REAL,A_blur,blur_1.0,1.0,0.7707678079605103,0.7707678079605103,False
0250 (5).jpg,REAL,A_blur_freq,blur0.5_freq0.05,0.05,0.6199973225593567,0.6199973225593567,False
0250 (5).jpg,REAL,A_blur_freq,blur0.5_freq0.1,0.1,0.6012869477272034,0.6012869477272034,False
0250 (5).jpg,REAL,A_blur_freq,blur0.5_freq0.15,0.15,0.5933589339256287,0.5933589339256287,False
0250 (5).jpg,REAL,B_noise,noise_0.01,0.01,0.5595831274986267,0.5595831274986267,False
0250 (5).jpg,REAL,B_noise,noise_0.02,0.02,0.5376977920532227,0.5376977920532227,False
0250 (5).jpg,REAL,B_noise,noise_0.03,0.03,0.521477997303009,0.521477997303009,False
0250 (5).jpg,REAL,B_noise,noise_0.05,0.05,0.5746546983718872,0.5746546983718872,False
0250 (5).jpg,REAL,B_noise_bright,noise0.02_bright1.02,1.02,0.5403074622154236,0.5403074622154236,False
0250 (5).jpg,REAL,B_noise_bright,noise0.02_bright1.05,1.05,0.5750676989555359,0.5750676989555359,False
0250 (5).jpg,REAL,B_noise_bright,noise0.02_bright1.08,1.08,0.5724233388900757,0.5724233388900757,False
0071.jpg,REAL,original,original,0.0,0.716227114200592,0.716227114200592,False
0071.jpg,REAL,A_blur,blur_0.3,0.3,0.7220656871795654,0.7220656871795654,False
0071.jpg,REAL,A_blur,blur_0.5,0.5,0.7391802668571472,0.7391802668571472,False
0071.jpg,REAL,A_blur,blur_0.8,0.8,0.7670210003852844,0.7670210003852844,False
