sample_id,true_label,strategy,stage,parameter,confidence,p_fake,flipped
0892 (2).jpg,REAL,original,original,0.0,0.9739314317703247,0.026068590581417084,False
0892 (2).jpg,REAL,A_blur,blur_0.3,0.3,0.9926738142967224,0.007326214574277401,False
0892 (2).jpg,REAL,A_blur,blur_0.5,0.5,0.9981023669242859,0.0018977184081450105,False
0892 (2).jpg,REAL,A_blur,blur_0.8,0.8,0.9980865716934204,0.001913424115628004,False
0892 (2).jpg,REAL,A_blur,blur_1.0,1.0,0.9884623885154724,0.011537553742527962,False
0892 (2).jpg,REAL,A_blur_freq,blur0.5_freq0.05,0.05,0.6944429278373718,0.6944429278373718,True
0892 (2).jpg,REAL,A_blur_freq,blur0.5_freq0.1,0.1,0.8813690543174744,0.8813690543174744,True
0892 (2).jpg,REAL,A_blur_freq,blur0.5_freq0.15,0.15,0.6383087635040283,0.6383087635040283,True
0892 (2).jpg,REAL,B_noise,noise_0.01,0.01,0.9724258184432983,0.02757423371076584,False
0892 (2).jpg,REAL,B_noise,noise_0.02,0.02,0.9749173521995544,0.02508271299302578,False
0892 (2).jpg,REAL,B_noise,noise_0.03,0.03,0.8564454913139343,0.1435544490814209,False
0892 (2).jpg,REAL,B_noise,noise_0.05,0.05,0.8828615546226501,0.11713841557502747,False
0892 (2).jpg,REAL,B_noise_bright,noise0.02_bright1.02,1.02,0.9778372049331665,0.02216280624270439,False
0892 (2).jpg,REAL,B_noise_bright,noise0.02_bright1.05,1.05,0.9529708623886108,0.047029126435518265,False
0892 (2).jpg,REAL,B_noise_bright,noise0.02_bright1.08,1.08,0.9585862159729004,0.041413769125938416,False
0250 (5).jpg,REAL,original,original,0.0,0.9938739538192749,0.006126035004854202,False
0250 (5).jpg,REAL,A_blur,blur_0.3,0.3,0.9971627593040466,0.002837246051058173,False
0250 (5).jpg,REAL,A_blur,blur_0.5,0.5,0.995420515537262,0.004579481668770313,False
0250 (5).jpg,REAL,A_blur,blur_0.8,0.8,0.9635374546051025,0.03646254166960716,False
0250 (5).jpg,REAL,A_blur,blur_1.0,1.0,0.5818992853164673,0.5818992853164673,True
0250 (5).jpg,REAL,A_blur_freq,blur0.5_freq0.05,0.05,0.9874623417854309,0.012537728063762188,False
0250 (5).jpg,REAL,A_blur_freq,blur0.5_freq0.1,0.1,0.9500812292098999,0.04991878569126129,False
0250 (5).jpg,REAL,A_blur_freq,blur0.5_freq0.15,0.15,0.9651676416397095,0.03483233600854874,False
0250 (5).jpg,REAL,B_noise,noise_0.01,0.01,0.9900782108306885,0.00992178451269865,False
0250 (5).jpg,REAL,B_noise,noise_0.02,0.02,0.9953202605247498,0.004679694306105375,False
0250 (5).jpg,REAL,B_noise,noise_0.03,0.03,0.988452136516571,0.0115478141233325,False
0250 (5).jpg,REAL,B_noise,noise_0.05,0.05,0.9857349991798401,0.014264939352869987,False
0250 (5).jpg,REAL,B_noise_bright,noise0.02_bright1.02,1.02,0.9896475672721863,0.010352414101362228,False
0250 (5).jpg,REAL,B_noise_bright,noise0.02_bright1.05,1.05,0.9934043288230896,0.006595717743039131,False
0250 (5).jpg,REAL,B_noise_bright,noise0.02_bright1.08,1.08,0.99573814868927,0.004261796362698078,False
0071.jpg,REAL,original,original,0.0,0.9870414733886719,0.012958536855876446,False
0071.jpg,REAL,A_blur,blur_0.3,0.3,0.9915689826011658,0.008430980145931244,False
0071.jpg,REAL,A_blur,blur_0.5,0.5,0.9827591180801392,0.017240894958376884,False
0071.jpg,REAL,A_blur,blur_0.8,0.8,0.9300785064697266,0.06992142647504807,False
0071.jpg,REAL,A_blur,blur_1.0,1.0,0.8515366911888123,0.14846333861351013,False
0071.jpg,REAL,A_blur_freq,blur0.5_freq0.05,0.05,0.7197043299674988,0.2802956700325012,False
0071.jpg,REAL,A_blur_freq,blur0.5_freq0.1,0.1,0.6064407825469971,0.39355921745300293,False
0071.jpg,REAL,A_blur_freq,blur0.5_freq0.15,0.15,0.9125230312347412,0.0874769389629364,False
0071.jpg,REAL,B_noise,noise_0.01,0.01,0.9841949939727783,0.015805035829544067,False
0071.jpg,REAL,B_noise,noise_0.02,0.02,0.9785968065261841,0.021403219550848007,False
0071.jpg,REAL,B_noise,noise_0.03,0.03,0.964247465133667,0.03575250878930092,False
0071.jpg,REAL,B_noise,noise_0.05,0.05,0.984847366809845,0.01515262946486473,False
0071.jpg,REAL,B_noise_bright,noise0.02_bright1.02,1.02,0.98207688331604,0.017923099920153618,False
0071.jpg,REAL,B_noise_bright,noise0.02_bright1.05,1.05,0.9861554503440857,0.013844501227140427,False
0071.jpg,REAL,B_noise_bright,noise0.02_bright1.08,1.08,0.9839569926261902,0.0160430446267128,False
0657 (4).jpg,REAL,original,original,0.0,0.9689364433288574,0.031063558533787727,False
0657 (4).jpg,REAL,A_blur,blur_0.3,0.3,0.9873924851417542,0.012607557699084282,False
0657 (4).jpg,REAL,A_blur,blur_0.5,0.5,0.9947577118873596,0.00524230906739831,False
0657 (4).jpg,REAL,A_blur,blur_0.8,0.8,0.9924305081367493,0.007569571956992149,False
0657 (4).jpg,REAL,A_blur,blur_1.0,1.0,0.9349539875984192,0.0650460422039032,False
0657 (4).jpg,REAL,A_blur_freq,blur0.5_freq0.05,0.05,0.9895040988922119,0.010495868511497974,False
0657 (4).jpg,REAL,A_blur_freq,blur0.5_freq0.1,0.1,0.9975833892822266,0.0024166142102330923,False
0657 (4).jpg,REAL,A_blur_freq,blur0.5_freq0.15,0.15,0.9976925849914551,0.0023074259515851736,False
0657 (4).jpg,REAL,B_noise,noise_0.01,0.01,0.9834176898002625,0.01658225618302822,False
0657 (4).jpg,REAL,B_noise,noise_0.02,0.02,0.9715173244476318,0.028482645750045776,False
0657 (4).jpg,REAL,B_noise,noise_0.03,0.03,0.8863064050674438,0.11369358748197556,False
0657 (4).jpg,REAL,B_noise,noise_0.05,0.05,0.9640076756477356,0.035992320626974106,False
0657 (4).jpg,REAL,B_noise_bright,noise0.02_bright1.02,1.02,0.9676339030265808,0.03236611559987068,False
0657 (4).jpg,REAL,B_noise_bright,noise0.02_bright1.05,1.05,0.9201613664627075,0.07983864098787308,False
0657 (4).jpg,REAL,B_noise_bright,noise0.02_bright1.08,1.08,0.8877671957015991,0.11223281919956207,False
0905 (9).jpg,REAL,original,original,0.0,0.9898858070373535,0.010114162229001522,False
0905 (9).jpg,REAL,A_blur,blur_0.3,0.3,0.994183361530304,0.005816594231873751,False
0905 (9).jpg,REAL,A_blur,blur_0.5,0.5,0.9934669137001038,0.006533047650009394,False
0905 (9).jpg,REAL,A_blur,blur_0.8,0.8,0.9638670086860657,0.036132991313934326,False
0905 (9).jpg,REAL,A_blur,blur_1.0,1.0,0.5344263911247253,0.46557357907295227,False
0905 (9).jpg,REAL,A_blur_freq,blur0.5_freq0.05,0.05,0.6034813523292542,0.39651864767074585,False
0905 (9).jpg,REAL,A_blur_freq,blur0.5_freq0.1,0.1,0.8125183582305908,0.18748162686824799,False
0905 (9).jpg,REAL,A_blur_freq,blur0.5_freq0.15,0.15,0.893001139163971,0.10699880868196487,False
0905 (9).jpg,REAL,B_noise,noise_0.01,0.01,0.9853036403656006,0.014696347527205944,False
0905 (9).jpg,REAL,B_noise,noise_0.02,0.02,0.9433733820915222,0.056626614183187485,False
0905 (9).jpg,REAL,B_noise,noise_0.03,0.03,0.9753918647766113,0.024608155712485313,False
0905 (9).jpg,REAL,B_noise,noise_0.05,0.05,0.9336568713188171,0.06634315848350525,False
0905 (9).jpg,REAL,B_noise_bright,noise0.02_bright1.02,1.02,0.9680127501487732,0.03198722004890442,False
